timestamp,visa_open,visa_close,visa_mid,mastercard_open,mastercard_close,mastercard_mid
2024-01-02 14:30:00,259.61,259.61,259.74749999999995,424.09,424.2343,423.845
2024-01-02 14:31:00,259.52,259.395,259.31,423.96,423.06,423.505
2024-01-02 14:32:00,259.375,259.115,259.26750000000004,423.51,423.14,423.3225
2024-01-02 14:33:00,259.03,259.1,259.03499999999997,422.785,423.125,422.9825
2024-01-02 14:34:00,259.12,259.33,259.17499999999995,423.0347,423.43,423.25235
2024-01-02 14:35:00,259.295,258.97,259.1325,423.25,422.72,423.175
2024-01-02 14:36:00,258.9875,259.13,259.09375,422.86,423.17,422.94
2024-01-02 14:37:00,259.16,258.825,259.01,423.14,422.58,422.85249999999996
2024-01-02 14:38:00,258.85,258.78,258.8225,422.555,421.99,422.27250000000004
2024-01-02 14:39:00,258.8,258.955,258.89,421.99,422.38,422.135
2024-01-02 14:40:00,258.98,259.12,259.095,422.63,422.48,422.47749999999996
2024-01-02 14:41:00,259.06,258.99,259.02,422.38,422.19,422.27750000000003
2024-01-02 14:42:00,258.97,259.02,258.96500000000003,422.0,422.09,422.135
2024-01-02 14:43:00,259.03,259.19,259.15,422.49,422.4183,422.5025
2024-01-02 14:44:00,259.15,259.21,259.225,422.66,422.57,422.645
2024-01-02 14:45:00,259.2,259.36,259.27,422.4943,422.32,422.36965
2024-01-02 14:46:00,259.36,259.8,259.595,422.48,422.955,422.6675
2024-01-02 14:47:00,259.795,259.595,259.765,422.945,422.55,422.70995
2024-01-02 14:48:00,259.6,259.27,259.39750000000004,422.55,422.0,422.275
2024-01-02 14:49:00,259.27,259.11,259.20000000000005,421.97,421.82,421.97
2024-01-02 14:50:00,259.06,259.06,259.025,421.87,422.18,421.94
2024-01-02 14:51:00,259.07,259.27,259.14,422.18,422.63,422.405
2024-01-02 14:52:00,259.28,259.12,259.22,422.64,422.525,422.57
2024-01-02 14:53:00,259.1,258.92,258.97,422.63,422.17,422.4
2024-01-02 14:54:00,258.91,258.87,258.8827,422.16,422.0815,422.16575
2024-01-02 14:55:00,258.88,258.84,258.865,422.2418,421.91,422.055
2024-01-02 14:56:00,258.84,258.86,258.835,421.9,421.75,421.86
2024-01-02 14:57:00,258.83,258.99,258.94,421.875,421.8777,421.96000000000004
2024-01-02 14:58:00,258.96,258.94,258.935,422.03,422.2475,422.02875
2024-01-02 14:59:00,258.94,258.985,258.96000000000004,422.17,422.26,422.13
2024-01-02 15:00:00,259.09,258.96,259.095,422.26,421.97,422.115
2024-01-02 15:01:00,258.92,258.875,258.81,421.7725,421.64,421.685
2024-01-02 15:02:00,258.88,258.89,258.91499999999996,421.85,421.844,421.78
2024-01-02 15:03:00,258.8983,258.75,258.83000000000004,421.84,421.915,421.9075
2024-01-02 15:04:00,258.72,258.64,258.735,421.83,421.765,421.9125
2024-01-02 15:05:00,258.66,258.45,258.53,421.71,421.36,421.5325
2024-01-02 15:06:00,258.4,258.375,258.334,421.2,421.065,421.1475
2024-01-02 15:07:00,258.375,258.33,258.34,421.17,421.045,421.0825
2024-01-02 15:08:00,258.32,258.16,258.2175,421.04,420.88,420.96000000000004
2024-01-02 15:09:00,258.2,258.331,258.27495,421.065,421.35,421.235
2024-01-02 15:10:00,258.32,258.38,258.40999999999997,421.4581,421.62,421.7
2024-01-02 15:11:00,258.39,258.49,258.42,421.475,421.685,421.58000000000004
2024-01-02 15:12:00,258.5,258.5564,258.52,421.66,421.9,421.78
2024-01-02 15:13:00,258.58,258.69,258.65505,422.07,422.14,422.15999999999997
2024-01-02 15:14:00,258.6665,258.6,258.6,422.04,422.06,422.04
2024-01-02 15:15:00,258.57,258.47,258.525,422.105,421.89,421.9975
2024-01-02 15:16:00,258.445,258.475,258.4475,421.955,421.96,421.90999999999997
2024-01-02 15:17:00,258.45,258.46,258.42999999999995,421.92,421.685,421.72249999999997
2024-01-02 15:18:00,258.52,258.61,258.555,421.745,421.82,421.77
2024-01-02 15:19:00,258.66,258.52,258.65,421.84,421.78,421.945
2024-01-02 15:20:00,258.53,258.555,258.5175,421.74,422.1,421.90250000000003
2024-01-02 15:21:00,258.58,258.61,258.61,422.1,422.2085,422.10425
2024-01-02 15:22:00,258.6,258.5,258.58500000000004,422.18,421.925,422.0525
2024-01-02 15:23:00,258.51,258.79,258.65,421.91,421.95,421.945
2024-01-02 15:24:00,258.8,258.5,258.655,422.03,421.43,421.73
2024-01-02 15:25:00,258.46,258.665,258.585,421.42,421.65,421.5375
2024-01-02 15:26:00,258.72,258.53,258.625,421.65,421.4,421.5025
2024-01-02 15:27:00,258.54,258.41,258.475,421.46,421.355,421.38875
2024-01-02 15:28:00,258.36,258.22,258.28,421.29,421.0,421.145
2024-01-02 15:29:00,258.23,258.26,258.28999999999996,420.94,421.11,421.105
2024-01-02 15:30:00,258.21,258.21,258.18499999999995,421.01,421.0,421.005
2024-01-02 15:31:00,258.21,258.2,258.21995,421.065,421.0302,421.0901
2024-01-02 15:32:00,258.2192,258.175,258.2225,421.115,420.85,421.02
2024-01-02 15:33:00,258.19,258.28,258.225,420.935,421.01,421.02265
2024-01-02 15:34:00,258.26,258.28,258.21,420.94,421.15,420.975
2024-01-02 15:35:00,258.265,258.3,258.27250000000004,421.025,421.01,421.01005
2024-01-02 15:36:00,258.2999,258.245,258.26995,420.95,420.94,420.96000000000004
2024-01-02 15:37:00,258.26,258.2232,258.24125,421.06,420.975,420.975
2024-01-02 15:38:00,258.33,258.45,258.4,420.97,421.075,421.0425
2024-01-02 15:39:00,258.465,258.5342,258.5125,421.01,421.2408,421.16499999999996
2024-01-02 15:40:00,258.525,258.65,258.595,421.24,421.53,421.385
2024-01-02 15:41:00,258.67,258.57,258.605,421.5,421.3141,421.40705
2024-01-02 15:43:00,258.67,258.77,258.72,421.492,421.68,421.56
2024-01-02 15:44:00,258.81,258.905,258.86095,421.6913,421.85,421.78815
2024-01-02 15:45:00,258.9,258.99,258.94,421.85,421.91,421.855
2024-01-02 15:46:00,258.975,259.01,259.0,422.05,422.0688,422.16499999999996
2024-01-02 15:47:00,259.015,258.83,258.90999999999997,422.06,421.83,421.945
2024-01-02 15:48:00,258.84,258.895,258.865,421.86,421.79,421.85249999999996
2024-01-02 15:49:00,258.83,258.87,258.78499999999997,421.77,421.72,421.66999999999996
2024-01-02 15:50:00,258.855,258.84,258.8725,421.74,421.49,421.58000000000004
2024-01-02 15:51:00,258.78,258.76,258.77250000000004,421.54,421.52,421.53999999999996
2024-01-02 15:52:00,258.71,258.65,258.66499999999996,421.43,421.46,421.455
2024-01-02 15:53:00,258.64,258.71,258.69,421.37,421.47,421.4175
2024-01-02 15:54:00,258.683,258.68,258.6515,421.39,421.335,421.315
2024-01-02 15:55:00,258.68,258.84,258.7575,421.44,421.48,421.4875
2024-01-02 15:56:00,258.85,258.89,258.94,421.57,421.64,421.655
2024-01-02 15:57:00,258.89,258.655,258.75,421.68,421.41,421.51
2024-01-02 15:58:00,258.63,258.67,258.62,421.37,421.19,421.265
2024-01-02 15:59:00,258.71,258.535,258.6225,421.26,421.065,421.1
2024-01-02 16:00:00,258.52,258.5,258.515,421.065,420.985,421.03499999999997
2024-01-02 16:01:00,258.49,258.401,258.425,420.8801,420.98,420.88
2024-01-02 16:02:00,258.36,258.425,258.4,421.0321,420.925,420.97855000000004
2024-01-02 16:03:00,258.425,258.5046,258.46479999999997,421.06,421.045,421.0675
2024-01-02 16:04:00,258.49,258.61,258.56449999999995,421.055,421.17,421.06
2024-01-02 16:05:00,258.6066,258.495,258.54830000000004,421.13,420.98,421.0
2024-01-02 16:06:00,258.49,258.44,258.405,420.855,420.66,420.75750000000005
2024-01-02 16:07:00,258.38,258.23,258.315,420.795,420.6,420.68255
2024-01-02 16:08:00,258.29,258.315,258.34000000000003,420.6,420.65,420.77
2024-01-02 16:09:00,258.33,258.38,258.37,420.78,420.85,420.815
2024-01-02 16:10:00,258.42,258.485,258.47,420.86,421.01,420.96500000000003
2024-01-02 16:11:00,258.53,258.52,258.56,421.15,421.14,421.1725
2024-01-02 16:12:00,258.527,258.4,258.455,421.19,420.97,421.13
2024-01-02 16:13:00,258.39,258.32,258.32,420.96,420.83,420.8825
2024-01-02 16:14:00,258.32,258.355,258.37,420.9225,420.74,420.885
